file_name,category,file_size_bytes,download_url,local_path,downloaded
OSD-375_metadata_OSD-375-ISA.zip,Study Metadata Files,144901,https://osdr.nasa.gov/geode-py/ws/studies/OSD-375/download?source=datamanager&file=OSD-375_metadata_OSD-375-ISA.zip,/Users/drb_laptop/Documents/AIRI_to_AIR/brachypodium-gwas-spaceflight/data/osdr/Study_Metadata_Files/OSD-375_metadata_OSD-375-ISA.zip,True
GLDS-375_rna-seq_GC9-1S_S11_L002_R2_001.fastq.gz,Raw Data,1557792472,https://osdr.nasa.gov/geode-py/ws/studies/OSD-375/download?source=datamanager&file=GLDS-375_rna-seq_GC9-1S_S11_L002_R2_001.fastq.gz,,False
GLDS-375_rna-seq_GC9-1S_S11_L002_R1_001.fastq.gz,Raw Data,1471862261,https://osdr.nasa.gov/geode-py/ws/studies/OSD-375/download?source=datamanager&file=GLDS-375_rna-seq_GC9-1S_S11_L002_R1_001.fastq.gz,,False
GLDS-375_rna-seq_GC9-1R_S12_L002_R2_001.fastq.gz,Raw Data,2595110622,https://osdr.nasa.gov/geode-py/ws/studies/OSD-375/download?source=datamanager&file=GLDS-375_rna-seq_GC9-1R_S12_L002_R2_001.fastq.gz,,False
GLDS-375_rna-seq_GC9-1R_S12_L002_R1_001.fastq.gz,Raw Data,2455057713,https://osdr.nasa.gov/geode-py/ws/studies/OSD-375/download?source=datamanager&file=GLDS-375_rna-seq_GC9-1R_S12_L002_R1_001.fastq.gz,,False
GLDS-375_rna-seq_GC5-1S_S7_L002_R2_001.fastq.gz,Raw Data,1744375230,https://osdr.nasa.gov/geode-py/ws/studies/OSD-375/download?source=datamanager&file=GLDS-375_rna-seq_GC5-1S_S7_L002_R2_001.fastq.gz,,False
GLDS-375_rna-seq_GC5-1S_S7_L002_R1_001.fastq.gz,Raw Data,1623197460,https://osdr.nasa.gov/geode-py/ws/studies/OSD-375/download?source=datamanager&file=GLDS-375_rna-seq_GC5-1S_S7_L002_R1_001.fastq.gz,,False
GLDS-375_rna-seq_GC5-1R_S8_L002_R2_001.fastq.gz,Raw Data,2110204548,https://osdr.nasa.gov/geode-py/ws/studies/OSD-375/download?source=datamanager&file=GLDS-375_rna-seq_GC5-1R_S8_L002_R2_001.fastq.gz,,False
GLDS-375_rna-seq_GC5-1R_S8_L002_R1_001.fastq.gz,Raw Data,1982961276,https://osdr.nasa.gov/geode-py/ws/studies/OSD-375/download?source=datamanager&file=GLDS-375_rna-seq_GC5-1R_S8_L002_R1_001.fastq.gz,,False
GLDS-375_rna-seq_GC11-1S_S15_L002_R2_001.fastq.gz,Raw Data,1704231971,https://osdr.nasa.gov/geode-py/ws/studies/OSD-375/download?source=datamanager&file=GLDS-375_rna-seq_GC11-1S_S15_L002_R2_001.fastq.gz,,False
