Sample Name,Parameter Value[QA Instrument],Parameter Value[Library Selection],Parameter Value[Library Layout],Parameter Value[Library QA Instrument],Parameter Value[Library QA Assay],Parameter Value[Sequencing Instrument],Parameter Value[Read Length],Parameter Value[Read Depth]
FL1-1R,Agilent 2100 Bioanalyzer,cDNA,PAIRED,Not Available,Not Available,Illumina NovaSeq 6000,150,24603016
FL1-1S,Agilent 2100 Bioanalyzer,cDNA,PAIRED,Not Available,Not Available,Illumina NovaSeq 6000,150,24855321
FL11-1R,Agilent 2100 Bioanalyzer,cDNA,PAIRED,Not Available,Not Available,Illumina NovaSeq 6000,150,23972721
FL11-1S,Agilent 2100 Bioanalyzer,cDNA,PAIRED,Not Available,Not Available,Illumina NovaSeq 6000,150,29741966
FL5-1R,Agilent 2100 Bioanalyzer,cDNA,PAIRED,Not Available,Not Available,Illumina NovaSeq 6000,150,30455833
FL5-1S,Agilent 2100 Bioanalyzer,cDNA,PAIRED,Not Available,Not Available,Illumina NovaSeq 6000,150,27710153
FL9-1R,Agilent 2100 Bioanalyzer,cDNA,PAIRED,Not Available,Not Available,Illumina NovaSeq 6000,150,26150734
FL9-1S,Agilent 2100 Bioanalyzer,cDNA,PAIRED,Not Available,Not Available,Illumina NovaSeq 6000,150,30953908
GC1-1R,Agilent 2100 Bioanalyzer,cDNA,PAIRED,Not Available,Not Available,Illumina NovaSeq 6000,150,32751555
GC1-1S,Agilent 2100 Bioanalyzer,cDNA,PAIRED,Not Available,Not Available,Illumina NovaSeq 6000,150,26172234
GC11-1R,Agilent 2100 Bioanalyzer,cDNA,PAIRED,Not Available,Not Available,Illumina NovaSeq 6000,150,27659956
GC11-1S,Agilent 2100 Bioanalyzer,cDNA,PAIRED,Not Available,Not Available,Illumina NovaSeq 6000,150,24117162
GC5-1R,Agilent 2100 Bioanalyzer,cDNA,PAIRED,Not Available,Not Available,Illumina NovaSeq 6000,150,28658796
GC5-1S,Agilent 2100 Bioanalyzer,cDNA,PAIRED,Not Available,Not Available,Illumina NovaSeq 6000,150,23894768
GC9-1R,Agilent 2100 Bioanalyzer,cDNA,PAIRED,Not Available,Not Available,Illumina NovaSeq 6000,150,35553622
