Sample Name,Parameter Value[QA Instrument],Parameter Value[Library Selection],Parameter Value[Library Layout],Parameter Value[Library QA Instrument],Parameter Value[Library QA Assay],Parameter Value[Sequencing Instrument],Parameter Value[Read Length],Parameter Value[Read Depth]
GC9-1S,Agilent 2100 Bioanalyzer,cDNA,PAIRED,Not Available,Not Available,Illumina NovaSeq 6000,150,21745892
FL10-1R,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,144478455
FL10-1S,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,117722168
FL12-1R,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,115792109
FL12-1S,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,103079006
FL2-1R,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,129592483
FL2-1S,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,120670725
FL3-1R,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,140052029
FL3-1S,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,116408837
FL4-1R,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,129136571
FL4-1S,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,116406947
FL6-1R,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,135624069
FL6-1S,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,121351708
FL7-1R,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,115343224
FL7-1S,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,129528436
FL8-1R,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,132153355
FL8-1S,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,130275272
GC10-1R,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,134977139
GC10-1S,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,112742330
GC12-1R,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,105931454
GC12-1S,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,119046921
GC2-1R,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,129416765
GC2-1S,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,130505407
GC3-1R,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,110888542
GC3-1S,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,122851065
GC4-1R,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,117011038
GC4-1S,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,130071270
GC6-1R,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,128364999
GC6-1S,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,123573858
GC7-1R,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,124556818
GC7-1S,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,122019815
GC8-1R,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,167906246
GC8-1S,Nanodrop 2000,Ribo-depletion,PAIRED,Agilent 4200 TapeStation,D1000 ScreenTape,Illumina NovaSeq 6000,100,120650526
