Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GLDS-375_rna-seq_FL1-1R_S2_L002_R1_raw	GLDS-375_rna-seq_FL1-1R_S2_L002_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24603016.0	0.0	151.0	49.0	32.06224674026578	151.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	fail
GLDS-375_rna-seq_FL1-1R_S2_L002_R2_raw	GLDS-375_rna-seq_FL1-1R_S2_L002_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24603016.0	0.0	151.0	49.0	38.65142940451616	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_FL1-1S_S1_L002_R1_raw	GLDS-375_rna-seq_FL1-1S_S1_L002_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24855321.0	0.0	151.0	46.0	24.09290879272984	151.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_FL1-1S_S1_L002_R2_raw	GLDS-375_rna-seq_FL1-1S_S1_L002_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24855321.0	0.0	151.0	45.0	31.12199501567558	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	fail	fail
GLDS-375_rna-seq_FL10-1R_R1_raw	GLDS-375_rna-seq_FL10-1R_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	144478455.0	0.0	101.0	50.0	22.147623691761538	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL10-1R_R2_raw	GLDS-375_rna-seq_FL10-1R_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	144478455.0	0.0	101.0	48.0	24.9848856722904	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
GLDS-375_rna-seq_FL10-1S_R1_raw	GLDS-375_rna-seq_FL10-1S_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117722168.0	0.0	101.0	45.0	17.31287842141733	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL10-1S_R2_raw	GLDS-375_rna-seq_FL10-1S_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117722168.0	0.0	101.0	45.0	17.24275226846086	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL11-1R_S14_L002_R1_raw	GLDS-375_rna-seq_FL11-1R_S14_L002_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23972721.0	0.0	151.0	49.0	37.48724752307531	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
GLDS-375_rna-seq_FL11-1R_S14_L002_R2_raw	GLDS-375_rna-seq_FL11-1R_S14_L002_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23972721.0	0.0	151.0	48.0	43.79328275972836	151.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	fail
GLDS-375_rna-seq_FL11-1S_S13_L002_R1_raw	GLDS-375_rna-seq_FL11-1S_S13_L002_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29741966.0	0.0	151.0	46.0	26.58917322897795	151.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_FL11-1S_S13_L002_R2_raw	GLDS-375_rna-seq_FL11-1S_S13_L002_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29741966.0	0.0	151.0	46.0	31.823202979444225	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_FL12-1R_R1_raw	GLDS-375_rna-seq_FL12-1R_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115792109.0	0.0	101.0	49.0	22.914387555069286	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL12-1R_R2_raw	GLDS-375_rna-seq_FL12-1R_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115792109.0	0.0	101.0	48.0	22.71270769756976	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
GLDS-375_rna-seq_FL12-1S_R1_raw	GLDS-375_rna-seq_FL12-1S_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103079006.0	0.0	101.0	44.0	17.917340344651347	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL12-1S_R2_raw	GLDS-375_rna-seq_FL12-1S_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103079006.0	0.0	101.0	44.0	19.39385844241941	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL2-1R_R1_raw	GLDS-375_rna-seq_FL2-1R_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129592483.0	0.0	101.0	50.0	22.14611519830637	101.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL2-1R_R2_raw	GLDS-375_rna-seq_FL2-1R_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129592483.0	0.0	101.0	49.0	23.735346157539112	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
GLDS-375_rna-seq_FL2-1S_R1_raw	GLDS-375_rna-seq_FL2-1S_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	120670725.0	0.0	101.0	45.0	17.295921413289836	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL2-1S_R2_raw	GLDS-375_rna-seq_FL2-1S_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	120670725.0	0.0	101.0	45.0	18.77343023578553	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL3-1R_R1_raw	GLDS-375_rna-seq_FL3-1R_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	140052029.0	0.0	101.0	50.0	22.128867321145982	101.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL3-1R_R2_raw	GLDS-375_rna-seq_FL3-1R_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	140052029.0	0.0	101.0	49.0	23.050543241466862	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
GLDS-375_rna-seq_FL3-1S_R1_raw	GLDS-375_rna-seq_FL3-1S_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116408837.0	0.0	101.0	47.0	17.898670960885877	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL3-1S_R2_raw	GLDS-375_rna-seq_FL3-1S_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116408837.0	0.0	101.0	47.0	19.287466099565403	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL4-1R_R1_raw	GLDS-375_rna-seq_FL4-1R_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129136571.0	0.0	101.0	50.0	23.78080780768989	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
