Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GLDS-375_rna-seq_FL4-1R_R2_raw	GLDS-375_rna-seq_FL4-1R_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129136571.0	0.0	101.0	49.0	26.121446366279276	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
GLDS-375_rna-seq_FL4-1S_R1_raw	GLDS-375_rna-seq_FL4-1S_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116406947.0	0.0	101.0	46.0	19.36764826936872	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL4-1S_R2_raw	GLDS-375_rna-seq_FL4-1S_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116406947.0	0.0	101.0	46.0	21.324139605864577	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL5-1R_S6_L002_R1_raw	GLDS-375_rna-seq_FL5-1R_S6_L002_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30455833.0	0.0	151.0	51.0	26.650450372092255	151.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	fail
GLDS-375_rna-seq_FL5-1R_S6_L002_R2_raw	GLDS-375_rna-seq_FL5-1R_S6_L002_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30455833.0	0.0	151.0	51.0	33.539723583812616	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_FL5-1S_S5_L002_R1_raw	GLDS-375_rna-seq_FL5-1S_S5_L002_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27710153.0	0.0	151.0	46.0	25.727493289726723	151.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_FL5-1S_S5_L002_R2_raw	GLDS-375_rna-seq_FL5-1S_S5_L002_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27710153.0	0.0	151.0	46.0	30.926285599902233	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_FL6-1R_R1_raw	GLDS-375_rna-seq_FL6-1R_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	135624069.0	0.0	101.0	50.0	21.98643508991363	101.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL6-1R_R2_raw	GLDS-375_rna-seq_FL6-1R_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	135624069.0	0.0	101.0	49.0	23.165799942201645	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
GLDS-375_rna-seq_FL6-1S_R1_raw	GLDS-375_rna-seq_FL6-1S_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	121351708.0	0.0	101.0	45.0	18.33424472915188	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL6-1S_R2_raw	GLDS-375_rna-seq_FL6-1S_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	121351708.0	0.0	101.0	45.0	20.72572804240504	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL7-1R_R1_raw	GLDS-375_rna-seq_FL7-1R_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115343224.0	0.0	101.0	50.0	23.0961865056657	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL7-1R_R2_raw	GLDS-375_rna-seq_FL7-1R_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115343224.0	0.0	101.0	49.0	23.81209034974718	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL7-1S_R1_raw	GLDS-375_rna-seq_FL7-1S_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129528436.0	0.0	101.0	47.0	17.51190840275145	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL7-1S_R2_raw	GLDS-375_rna-seq_FL7-1S_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129528436.0	0.0	101.0	47.0	18.334112631341085	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL8-1R_R1_raw	GLDS-375_rna-seq_FL8-1R_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132153355.0	0.0	101.0	49.0	23.193357668900045	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL8-1R_R2_raw	GLDS-375_rna-seq_FL8-1R_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132153355.0	0.0	101.0	49.0	23.882534591759445	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL8-1S_R1_raw	GLDS-375_rna-seq_FL8-1S_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130275272.0	0.0	101.0	46.0	17.783679465614963	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL8-1S_R2_raw	GLDS-375_rna-seq_FL8-1S_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130275272.0	0.0	101.0	45.0	20.593845737390172	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_FL9-1R_S10_L002_R1_raw	GLDS-375_rna-seq_FL9-1R_S10_L002_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26150734.0	0.0	151.0	50.0	27.68386159539718	151.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	fail
GLDS-375_rna-seq_FL9-1R_S10_L002_R2_raw	GLDS-375_rna-seq_FL9-1R_S10_L002_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26150734.0	0.0	151.0	49.0	33.63858263466593	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_FL9-1S_S9_L002_R1_raw	GLDS-375_rna-seq_FL9-1S_S9_L002_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30953908.0	0.0	151.0	47.0	25.06490752339489	151.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_FL9-1S_S9_L002_R2_raw	GLDS-375_rna-seq_FL9-1S_S9_L002_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30953908.0	0.0	151.0	47.0	30.143579540685117	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_GC1-1R_S4_L002_R1_raw	GLDS-375_rna-seq_GC1-1R_S4_L002_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32751555.0	0.0	151.0	51.0	19.199356881192223	151.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	fail
GLDS-375_rna-seq_GC1-1R_S4_L002_R2_raw	GLDS-375_rna-seq_GC1-1R_S4_L002_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32751555.0	0.0	151.0	51.0	25.918656995683957	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_GC1-1S_S3_L002_R1_raw	GLDS-375_rna-seq_GC1-1S_S3_L002_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26172234.0	0.0	151.0	46.0	24.50378958219333	151.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_GC1-1S_S3_L002_R2_raw	GLDS-375_rna-seq_GC1-1S_S3_L002_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26172234.0	0.0	151.0	45.0	30.359598290398687	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_GC10-1R_R1_raw	GLDS-375_rna-seq_GC10-1R_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	134977139.0	0.0	101.0	51.0	22.594841095019497	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC10-1R_R2_raw	GLDS-375_rna-seq_GC10-1R_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	134977139.0	0.0	101.0	50.0	23.902390325376206	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
GLDS-375_rna-seq_GC10-1S_R1_raw	GLDS-375_rna-seq_GC10-1S_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	112742330.0	0.0	101.0	46.0	18.022135651684486	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC10-1S_R2_raw	GLDS-375_rna-seq_GC10-1S_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	112742330.0	0.0	101.0	45.0	17.323292844316743	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC11-1R_S16_L002_R1_raw	GLDS-375_rna-seq_GC11-1R_S16_L002_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27659956.0	0.0	151.0	50.0	35.753142729122146	151.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_GC11-1R_S16_L002_R2_raw	GLDS-375_rna-seq_GC11-1R_S16_L002_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27659956.0	0.0	151.0	50.0	40.12520978554418	151.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	fail
GLDS-375_rna-seq_GC11-1S_S15_L002_R1_raw	GLDS-375_rna-seq_GC11-1S_S15_L002_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24117162.0	0.0	151.0	45.0	20.246659734051033	151.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_GC11-1S_S15_L002_R2_raw	GLDS-375_rna-seq_GC11-1S_S15_L002_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24117162.0	0.0	151.0	45.0	25.768515450055585	151.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	warn	fail
GLDS-375_rna-seq_GC12-1R_R1_raw	GLDS-375_rna-seq_GC12-1R_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105931454.0	0.0	101.0	50.0	23.215453840072104	101.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC12-1R_R2_raw	GLDS-375_rna-seq_GC12-1R_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105931454.0	0.0	101.0	49.0	24.016526235495373	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
GLDS-375_rna-seq_GC12-1S_R1_raw	GLDS-375_rna-seq_GC12-1S_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	119046921.0	0.0	101.0	44.0	15.551364059721134	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC12-1S_R2_raw	GLDS-375_rna-seq_GC12-1S_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	119046921.0	0.0	101.0	44.0	16.840631087066747	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC2-1R_R1_raw	GLDS-375_rna-seq_GC2-1R_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129416765.0	0.0	101.0	51.0	20.989025807642708	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC2-1R_R2_raw	GLDS-375_rna-seq_GC2-1R_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129416765.0	0.0	101.0	50.0	22.491987951368237	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC2-1S_R1_raw	GLDS-375_rna-seq_GC2-1S_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130505407.0	0.0	101.0	46.0	14.231204982860632	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC2-1S_R2_raw	GLDS-375_rna-seq_GC2-1S_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130505407.0	0.0	101.0	46.0	15.543093506977984	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC3-1R_R1_raw	GLDS-375_rna-seq_GC3-1R_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110888542.0	0.0	101.0	50.0	24.215163876418032	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC3-1R_R2_raw	GLDS-375_rna-seq_GC3-1R_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110888542.0	0.0	101.0	49.0	27.516604599173206	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
GLDS-375_rna-seq_GC3-1S_R1_raw	GLDS-375_rna-seq_GC3-1S_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	122851065.0	0.0	101.0	47.0	16.454803847883575	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC3-1S_R2_raw	GLDS-375_rna-seq_GC3-1S_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	122851065.0	0.0	101.0	46.0	19.058452804254433	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC4-1R_R1_raw	GLDS-375_rna-seq_GC4-1R_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117011038.0	0.0	101.0	50.0	23.503037434126313	101.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC4-1R_R2_raw	GLDS-375_rna-seq_GC4-1R_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117011038.0	0.0	101.0	49.0	24.75193961026466	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
GLDS-375_rna-seq_GC4-1S_R1_raw	GLDS-375_rna-seq_GC4-1S_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130071270.0	0.0	101.0	44.0	15.817558136348788	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC4-1S_R2_raw	GLDS-375_rna-seq_GC4-1S_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130071270.0	0.0	101.0	44.0	19.655125785231963	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC5-1R_S8_L002_R1_raw	GLDS-375_rna-seq_GC5-1R_S8_L002_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28658796.0	0.0	151.0	49.0	34.42203980290224	151.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_GC5-1R_S8_L002_R2_raw	GLDS-375_rna-seq_GC5-1R_S8_L002_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28658796.0	0.0	151.0	49.0	41.2581923260585	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
GLDS-375_rna-seq_GC5-1S_S7_L002_R1_raw	GLDS-375_rna-seq_GC5-1S_S7_L002_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23894768.0	0.0	151.0	46.0	22.27570439325032	151.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
GLDS-375_rna-seq_GC5-1S_S7_L002_R2_raw	GLDS-375_rna-seq_GC5-1S_S7_L002_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23894768.0	0.0	151.0	45.0	31.390387413515686	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	fail	fail
GLDS-375_rna-seq_GC6-1R_R1_raw	GLDS-375_rna-seq_GC6-1R_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	128364999.0	0.0	101.0	50.0	23.651972964976352	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC6-1R_R2_raw	GLDS-375_rna-seq_GC6-1R_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	128364999.0	0.0	101.0	49.0	25.073424127442163	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
GLDS-375_rna-seq_GC6-1S_R1_raw	GLDS-375_rna-seq_GC6-1S_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123573858.0	0.0	101.0	45.0	16.23795684311328	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC6-1S_R2_raw	GLDS-375_rna-seq_GC6-1S_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123573858.0	0.0	101.0	45.0	17.814155602187583	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC7-1R_R1_raw	GLDS-375_rna-seq_GC7-1R_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124556818.0	0.0	101.0	49.0	23.557143504141873	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC7-1R_R2_raw	GLDS-375_rna-seq_GC7-1R_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124556818.0	0.0	101.0	48.0	24.534471105952992	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC7-1S_R1_raw	GLDS-375_rna-seq_GC7-1S_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	122019815.0	0.0	101.0	44.0	14.934958396441536	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC7-1S_R2_raw	GLDS-375_rna-seq_GC7-1S_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	122019815.0	0.0	101.0	44.0	16.465574635422566	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC8-1R_R1_raw	GLDS-375_rna-seq_GC8-1R_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	167906246.0	0.0	101.0	53.0	11.093767252424104	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
GLDS-375_rna-seq_GC8-1R_R2_raw	GLDS-375_rna-seq_GC8-1R_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	167906246.0	0.0	101.0	52.0	11.728846404806568	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC8-1S_R1_raw	GLDS-375_rna-seq_GC8-1S_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	120650526.0	0.0	101.0	44.0	15.59005442189958	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
GLDS-375_rna-seq_GC8-1S_R2_raw	GLDS-375_rna-seq_GC8-1S_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	120650526.0	0.0	101.0	44.0	16.213947088984103	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
