Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
GLDS-375_rna-seq_FL1-1R_S2_L002_R1_raw	67.93775325973422	49.0	151.0	27.27272727272727	24603016.0
GLDS-375_rna-seq_FL1-1R_S2_L002_R2_raw	61.34857059548384	49.0	151.0	18.181818181818183	24603016.0
GLDS-375_rna-seq_FL1-1S_S1_L002_R1_raw	75.90709120727016	46.0	151.0	27.27272727272727	24855321.0
GLDS-375_rna-seq_FL1-1S_S1_L002_R2_raw	68.87800498432442	45.0	151.0	27.27272727272727	24855321.0
GLDS-375_rna-seq_FL10-1R_R1_raw	77.85237630823846	50.0	101.0	9.090909090909092	144478455.0
GLDS-375_rna-seq_FL10-1R_R2_raw	75.0151143277096	48.0	101.0	27.27272727272727	144478455.0
GLDS-375_rna-seq_FL10-1S_R1_raw	82.68712157858266	45.0	101.0	9.090909090909092	117722168.0
GLDS-375_rna-seq_FL10-1S_R2_raw	82.75724773153914	45.0	101.0	18.181818181818183	117722168.0
GLDS-375_rna-seq_FL11-1R_S14_L002_R1_raw	62.51275247692469	49.0	151.0	36.36363636363637	23972721.0
GLDS-375_rna-seq_FL11-1R_S14_L002_R2_raw	56.20671724027164	48.0	151.0	27.27272727272727	23972721.0
GLDS-375_rna-seq_FL11-1S_S13_L002_R1_raw	73.41082677102204	46.0	151.0	27.27272727272727	29741966.0
GLDS-375_rna-seq_FL11-1S_S13_L002_R2_raw	68.17679702055577	46.0	151.0	18.181818181818183	29741966.0
GLDS-375_rna-seq_FL12-1R_R1_raw	77.08561244493072	49.0	101.0	9.090909090909092	115792109.0
GLDS-375_rna-seq_FL12-1R_R2_raw	77.28729230243025	48.0	101.0	27.27272727272727	115792109.0
GLDS-375_rna-seq_FL12-1S_R1_raw	82.08265965534865	44.0	101.0	9.090909090909092	103079006.0
GLDS-375_rna-seq_FL12-1S_R2_raw	80.60614155758059	44.0	101.0	9.090909090909092	103079006.0
GLDS-375_rna-seq_FL2-1R_R1_raw	77.85388480169362	50.0	101.0	18.181818181818183	129592483.0
GLDS-375_rna-seq_FL2-1R_R2_raw	76.26465384246089	49.0	101.0	36.36363636363637	129592483.0
GLDS-375_rna-seq_FL2-1S_R1_raw	82.70407858671017	45.0	101.0	9.090909090909092	120670725.0
GLDS-375_rna-seq_FL2-1S_R2_raw	81.22656976421447	45.0	101.0	9.090909090909092	120670725.0
GLDS-375_rna-seq_FL3-1R_R1_raw	77.87113267885402	50.0	101.0	18.181818181818183	140052029.0
GLDS-375_rna-seq_FL3-1R_R2_raw	76.94945675853313	49.0	101.0	27.27272727272727	140052029.0
GLDS-375_rna-seq_FL3-1S_R1_raw	82.10132903911412	47.0	101.0	9.090909090909092	116408837.0
GLDS-375_rna-seq_FL3-1S_R2_raw	80.7125339004346	47.0	101.0	18.181818181818183	116408837.0
GLDS-375_rna-seq_FL4-1R_R1_raw	76.21919219231012	50.0	101.0	9.090909090909092	129136571.0
GLDS-375_rna-seq_FL4-1R_R2_raw	73.87855363372073	49.0	101.0	36.36363636363637	129136571.0
GLDS-375_rna-seq_FL4-1S_R1_raw	80.63235173063129	46.0	101.0	18.181818181818183	116406947.0
GLDS-375_rna-seq_FL4-1S_R2_raw	78.67586039413543	46.0	101.0	18.181818181818183	116406947.0
GLDS-375_rna-seq_FL5-1R_S6_L002_R1_raw	73.34954962790775	51.0	151.0	27.27272727272727	30455833.0
GLDS-375_rna-seq_FL5-1R_S6_L002_R2_raw	66.46027641618738	51.0	151.0	18.181818181818183	30455833.0
GLDS-375_rna-seq_FL5-1S_S5_L002_R1_raw	74.27250671027328	46.0	151.0	27.27272727272727	27710153.0
GLDS-375_rna-seq_FL5-1S_S5_L002_R2_raw	69.07371440009777	46.0	151.0	18.181818181818183	27710153.0
GLDS-375_rna-seq_FL6-1R_R1_raw	78.01356491008637	50.0	101.0	18.181818181818183	135624069.0
GLDS-375_rna-seq_FL6-1R_R2_raw	76.83420005779836	49.0	101.0	27.27272727272727	135624069.0
GLDS-375_rna-seq_FL6-1S_R1_raw	81.66575527084812	45.0	101.0	18.181818181818183	121351708.0
GLDS-375_rna-seq_FL6-1S_R2_raw	79.27427195759496	45.0	101.0	18.181818181818183	121351708.0
GLDS-375_rna-seq_FL7-1R_R1_raw	76.9038134943343	50.0	101.0	9.090909090909092	115343224.0
GLDS-375_rna-seq_FL7-1R_R2_raw	76.18790965025282	49.0	101.0	18.181818181818183	115343224.0
GLDS-375_rna-seq_FL7-1S_R1_raw	82.48809159724854	47.0	101.0	9.090909090909092	129528436.0
GLDS-375_rna-seq_FL7-1S_R2_raw	81.66588736865891	47.0	101.0	18.181818181818183	129528436.0
GLDS-375_rna-seq_FL8-1R_R1_raw	76.80664233109995	49.0	101.0	9.090909090909092	132153355.0
GLDS-375_rna-seq_FL8-1R_R2_raw	76.11746540824055	49.0	101.0	18.181818181818183	132153355.0
GLDS-375_rna-seq_FL8-1S_R1_raw	82.21632053438503	46.0	101.0	9.090909090909092	130275272.0
GLDS-375_rna-seq_FL8-1S_R2_raw	79.40615426260983	45.0	101.0	18.181818181818183	130275272.0
GLDS-375_rna-seq_FL9-1R_S10_L002_R1_raw	72.31613840460282	50.0	151.0	27.27272727272727	26150734.0
GLDS-375_rna-seq_FL9-1R_S10_L002_R2_raw	66.36141736533406	49.0	151.0	18.181818181818183	26150734.0
GLDS-375_rna-seq_FL9-1S_S9_L002_R1_raw	74.9350924766051	47.0	151.0	27.27272727272727	30953908.0
GLDS-375_rna-seq_FL9-1S_S9_L002_R2_raw	69.85642045931488	47.0	151.0	18.181818181818183	30953908.0
GLDS-375_rna-seq_GC1-1R_S4_L002_R1_raw	80.80064311880778	51.0	151.0	27.27272727272727	32751555.0
GLDS-375_rna-seq_GC1-1R_S4_L002_R2_raw	74.08134300431604	51.0	151.0	18.181818181818183	32751555.0
GLDS-375_rna-seq_GC1-1S_S3_L002_R1_raw	75.49621041780667	46.0	151.0	27.27272727272727	26172234.0
GLDS-375_rna-seq_GC1-1S_S3_L002_R2_raw	69.64040170960132	45.0	151.0	18.181818181818183	26172234.0
GLDS-375_rna-seq_GC10-1R_R1_raw	77.40515890498051	51.0	101.0	9.090909090909092	134977139.0
GLDS-375_rna-seq_GC10-1R_R2_raw	76.0976096746238	50.0	101.0	27.27272727272727	134977139.0
GLDS-375_rna-seq_GC10-1S_R1_raw	81.9778643483155	46.0	101.0	9.090909090909092	112742330.0
GLDS-375_rna-seq_GC10-1S_R2_raw	82.67670715568326	45.0	101.0	18.181818181818183	112742330.0
GLDS-375_rna-seq_GC11-1R_S16_L002_R1_raw	64.24685727087785	50.0	151.0	27.27272727272727	27659956.0
GLDS-375_rna-seq_GC11-1R_S16_L002_R2_raw	59.87479021445582	50.0	151.0	27.27272727272727	27659956.0
GLDS-375_rna-seq_GC11-1S_S15_L002_R1_raw	79.75334026594896	45.0	151.0	27.27272727272727	24117162.0
GLDS-375_rna-seq_GC11-1S_S15_L002_R2_raw	74.23148454994441	45.0	151.0	27.27272727272727	24117162.0
GLDS-375_rna-seq_GC12-1R_R1_raw	76.7845461599279	50.0	101.0	18.181818181818183	105931454.0
GLDS-375_rna-seq_GC12-1R_R2_raw	75.98347376450462	49.0	101.0	27.27272727272727	105931454.0
GLDS-375_rna-seq_GC12-1S_R1_raw	84.44863594027886	44.0	101.0	18.181818181818183	119046921.0
GLDS-375_rna-seq_GC12-1S_R2_raw	83.15936891293325	44.0	101.0	9.090909090909092	119046921.0
GLDS-375_rna-seq_GC2-1R_R1_raw	79.0109741923573	51.0	101.0	9.090909090909092	129416765.0
GLDS-375_rna-seq_GC2-1R_R2_raw	77.50801204863177	50.0	101.0	9.090909090909092	129416765.0
GLDS-375_rna-seq_GC2-1S_R1_raw	85.76879501713937	46.0	101.0	9.090909090909092	130505407.0
GLDS-375_rna-seq_GC2-1S_R2_raw	84.45690649302202	46.0	101.0	9.090909090909092	130505407.0
GLDS-375_rna-seq_GC3-1R_R1_raw	75.78483612358197	50.0	101.0	9.090909090909092	110888542.0
GLDS-375_rna-seq_GC3-1R_R2_raw	72.4833954008268	49.0	101.0	27.27272727272727	110888542.0
GLDS-375_rna-seq_GC3-1S_R1_raw	83.54519615211643	47.0	101.0	9.090909090909092	122851065.0
GLDS-375_rna-seq_GC3-1S_R2_raw	80.94154719574557	46.0	101.0	9.090909090909092	122851065.0
GLDS-375_rna-seq_GC4-1R_R1_raw	76.49696256587369	50.0	101.0	18.181818181818183	117011038.0
GLDS-375_rna-seq_GC4-1R_R2_raw	75.24806038973534	49.0	101.0	36.36363636363637	117011038.0
GLDS-375_rna-seq_GC4-1S_R1_raw	84.1824418636512	44.0	101.0	9.090909090909092	130071270.0
GLDS-375_rna-seq_GC4-1S_R2_raw	80.34487421476804	44.0	101.0	9.090909090909092	130071270.0
GLDS-375_rna-seq_GC5-1R_S8_L002_R1_raw	65.57796019709775	49.0	151.0	27.27272727272727	28658796.0
GLDS-375_rna-seq_GC5-1R_S8_L002_R2_raw	58.7418076739415	49.0	151.0	45.45454545454545	28658796.0
GLDS-375_rna-seq_GC5-1S_S7_L002_R1_raw	77.72429560674968	46.0	151.0	27.27272727272727	23894768.0
GLDS-375_rna-seq_GC5-1S_S7_L002_R2_raw	68.60961258648432	45.0	151.0	27.27272727272727	23894768.0
GLDS-375_rna-seq_GC6-1R_R1_raw	76.34802703502365	50.0	101.0	18.181818181818183	128364999.0
GLDS-375_rna-seq_GC6-1R_R2_raw	74.92657587255783	49.0	101.0	36.36363636363637	128364999.0
GLDS-375_rna-seq_GC6-1S_R1_raw	83.76204315688672	45.0	101.0	9.090909090909092	123573858.0
GLDS-375_rna-seq_GC6-1S_R2_raw	82.18584439781242	45.0	101.0	18.181818181818183	123573858.0
GLDS-375_rna-seq_GC7-1R_R1_raw	76.44285649585812	49.0	101.0	9.090909090909092	124556818.0
GLDS-375_rna-seq_GC7-1R_R2_raw	75.46552889404701	48.0	101.0	9.090909090909092	124556818.0
GLDS-375_rna-seq_GC7-1S_R1_raw	85.06504160355847	44.0	101.0	9.090909090909092	122019815.0
GLDS-375_rna-seq_GC7-1S_R2_raw	83.53442536457743	44.0	101.0	18.181818181818183	122019815.0
GLDS-375_rna-seq_GC8-1R_R1_raw	88.9062327475759	53.0	101.0	36.36363636363637	167906246.0
GLDS-375_rna-seq_GC8-1R_R2_raw	88.27115359519343	52.0	101.0	18.181818181818183	167906246.0
GLDS-375_rna-seq_GC8-1S_R1_raw	84.40994557810042	44.0	101.0	18.181818181818183	120650526.0
GLDS-375_rna-seq_GC8-1S_R2_raw	83.7860529110159	44.0	101.0	9.090909090909092	120650526.0
GLDS-375_rna-seq_GC9-1R_S12_L002_R1_raw	67.9453978239982	50.0	151.0	27.27272727272727	35553622.0
