Sample	Top over-represented sequence	Sum of remaining over-represented sequences
GLDS-375_rna-seq_GC3-1R_R2_raw	1.0522845543410608	3.315074699061333
GLDS-375_rna-seq_GC3-1S_R1_raw	0.18456168857795413	2.085552941685935
GLDS-375_rna-seq_GC3-1S_R2_raw	0.4886038228484222	3.813482610020515
GLDS-375_rna-seq_GC4-1R_R1_raw	0.533607778096969	4.482686496636326
GLDS-375_rna-seq_GC4-1R_R2_raw	1.4496444343994281	4.792431633672031
GLDS-375_rna-seq_GC4-1S_R1_raw	0.2846239603872554	3.2852535383101897
GLDS-375_rna-seq_GC4-1S_R2_raw	0.5738600076711791	5.176337557094661
GLDS-375_rna-seq_GC5-1R_S8_L002_R1_raw	0.6794598070344616	2.9736141043747963
GLDS-375_rna-seq_GC5-1R_S8_L002_R2_raw	1.1486944531794008	0.7740729931571444
GLDS-375_rna-seq_GC5-1S_S7_L002_R1_raw	0.180445359419267	1.8217377126239516
GLDS-375_rna-seq_GC5-1S_S7_L002_R2_raw	1.3437795252918967	0.38940323672529487
GLDS-375_rna-seq_GC6-1R_R1_raw	0.5097643478344124	3.3549612694656745
GLDS-375_rna-seq_GC6-1R_R2_raw	1.3363113102193847	3.874837407975985
GLDS-375_rna-seq_GC6-1S_R1_raw	0.2459104254882129	2.850526848486029
GLDS-375_rna-seq_GC6-1S_R2_raw	0.6316376397344493	3.867466046095284
GLDS-375_rna-seq_GC7-1R_R1_raw	0.2735338020597154	1.4098112236617992
GLDS-375_rna-seq_GC7-1R_R2_raw	0.7319864256647918	2.290289721434599
GLDS-375_rna-seq_GC7-1S_R1_raw	0.23345552523579882	2.589496632165849
GLDS-375_rna-seq_GC7-1S_R2_raw	0.6605459941075964	3.9604346228520333
GLDS-375_rna-seq_GC8-1R_R1_raw	1.4096997916325282	7.6077449793023195
GLDS-375_rna-seq_GC8-1R_R2_raw	0.4267173003200846	9.269908279647913
GLDS-375_rna-seq_GC8-1S_R1_raw	0.29507703928286233	3.0887399529447555
GLDS-375_rna-seq_GC8-1S_R2_raw	0.5152584249819184	5.2959661361111685
GLDS-375_rna-seq_GC9-1R_S12_L002_R1_raw	0.5754350428769255	2.8940623827299508
GLDS-375_rna-seq_GC9-1R_S12_L002_R2_raw	0.4356743175139793	0.6476245936349327
GLDS-375_rna-seq_GC9-1S_S11_L002_R1_raw	0.23666538949057594	1.9870465649328157
GLDS-375_rna-seq_GC9-1S_S11_L002_R2_raw	0.4564126410634248	0.4558286227118206
GLDS-375_rna-seq_Plantctrl_rep1_R1_raw	0.9251833903761598	4.759018769172241
GLDS-375_rna-seq_Plantctrl_rep1_R2_raw	0.90730201197991	6.47418317142111
GLDS-375_rna-seq_Plantctrl_rep2_R1_raw	0.9905868909592401	4.401729304878509
GLDS-375_rna-seq_Plantctrl_rep2_R2_raw	0.8892076119667356	5.570601395920258
GLDS-375_rna-seq_Plantctrl_rep3_R1_raw	0.6295374979495083	5.192978606152131
GLDS-375_rna-seq_Plantctrl_rep3_R2_raw	0.6738654944544893	4.122561828922369
