Sample	Top over-represented sequence	Sum of remaining over-represented sequences
GLDS-375_rna-seq_FL1-1R_S2_L002_R1_raw	0.2818313006828106	2.2215609663465647
GLDS-375_rna-seq_FL1-1R_S2_L002_R2_raw	0.468483213602755	0.9414496173965015
GLDS-375_rna-seq_FL1-1S_S1_L002_R1_raw	0.2650418395320664	1.8461962329917203
GLDS-375_rna-seq_FL1-1S_S1_L002_R2_raw	1.0299726163262988	0.2528633607266628
GLDS-375_rna-seq_FL10-1R_R1_raw	0.6211009108589928	4.193227979908839
GLDS-375_rna-seq_FL10-1R_R2_raw	1.4932364829067422	4.260448383117053
GLDS-375_rna-seq_FL10-1S_R1_raw	0.2794460937892343	2.451591785159784
GLDS-375_rna-seq_FL10-1S_R2_raw	0.6753069651248692	3.4562640742396114
GLDS-375_rna-seq_FL11-1R_S14_L002_R1_raw	0.6357225781754187	2.6585926562111997
GLDS-375_rna-seq_FL11-1R_S14_L002_R2_raw	0.9484154927594577	0.6893126566650485
GLDS-375_rna-seq_FL11-1S_S13_L002_R1_raw	0.3098080335375274	1.4443866958895724
GLDS-375_rna-seq_FL11-1S_S13_L002_R2_raw	0.5167950228979483	0.33591928657305303
GLDS-375_rna-seq_FL12-1R_R1_raw	0.4139193975644748	3.43791130015604
GLDS-375_rna-seq_FL12-1R_R2_raw	1.2181279123260464	4.095234157968399
GLDS-375_rna-seq_FL12-1S_R1_raw	0.21349449178817265	1.549623014408967
GLDS-375_rna-seq_FL12-1S_R2_raw	0.45680688849483086	3.0893400349630844
GLDS-375_rna-seq_FL2-1R_R1_raw	0.6478107221697419	5.017862031395756
GLDS-375_rna-seq_FL2-1R_R2_raw	1.5598898587350936	5.309946874001942
GLDS-375_rna-seq_FL2-1S_R1_raw	0.24489369729070576	2.6147037734297194
GLDS-375_rna-seq_FL2-1S_R2_raw	0.6291318793352737	4.555499272918101
GLDS-375_rna-seq_FL3-1R_R1_raw	0.6541890228523572	4.873482411311586
GLDS-375_rna-seq_FL3-1R_R2_raw	1.671965066639627	4.738944553241709
GLDS-375_rna-seq_FL3-1S_R1_raw	0.2963477764149469	2.2284261803938477
GLDS-375_rna-seq_FL3-1S_R2_raw	0.7737806022407044	2.703451113423631
GLDS-375_rna-seq_FL4-1R_R1_raw	0.5110953426198687	3.4894623305430654
GLDS-375_rna-seq_FL4-1R_R2_raw	1.2915016924214289	4.480990129434365
GLDS-375_rna-seq_FL4-1S_R1_raw	0.3420191064713689	2.330073135583566
GLDS-375_rna-seq_FL4-1S_R2_raw	0.8756187034095139	3.2522010907132533
GLDS-375_rna-seq_FL5-1R_S6_L002_R1_raw	0.48776863203840126	7.2492911292230975
GLDS-375_rna-seq_FL5-1R_S6_L002_R2_raw	0.7620641996559412	4.3593750990163365
GLDS-375_rna-seq_FL5-1S_S5_L002_R1_raw	0.32494587814076664	2.48552218387246
GLDS-375_rna-seq_FL5-1S_S5_L002_R2_raw	0.6035044266987627	0.9026005738762973
GLDS-375_rna-seq_FL6-1R_R1_raw	0.5181676122694712	3.742269375504432
GLDS-375_rna-seq_FL6-1R_R2_raw	1.2893345649436312	4.556294502563555
GLDS-375_rna-seq_FL6-1S_R1_raw	0.26763611765563283	1.915422566611094
GLDS-375_rna-seq_FL6-1S_R2_raw	0.6920133336730621	3.24642319826269
GLDS-375_rna-seq_FL7-1R_R1_raw	0.3900506543843442	2.787356628769107
GLDS-375_rna-seq_FL7-1R_R2_raw	0.9583944003507306	3.899719328115885
GLDS-375_rna-seq_FL7-1S_R1_raw	0.26623883577193813	1.825365976008542
GLDS-375_rna-seq_FL7-1S_R2_raw	0.7188004647875158	2.48950740052169
GLDS-375_rna-seq_FL8-1R_R1_raw	0.34732829900534873	2.2216219936300523
GLDS-375_rna-seq_FL8-1R_R2_raw	0.7997231701003731	2.7086811379098172
GLDS-375_rna-seq_FL8-1S_R1_raw	0.2768814023278339	1.856631702139144
GLDS-375_rna-seq_FL8-1S_R2_raw	0.8357710433335346	3.2662837195995253
GLDS-375_rna-seq_FL9-1R_S10_L002_R1_raw	0.32778429852102814	6.880124282553597
GLDS-375_rna-seq_FL9-1R_S10_L002_R2_raw	0.772762248279532	4.240481357043362
GLDS-375_rna-seq_FL9-1S_S9_L002_R1_raw	0.29957445114846243	2.4145254938407135
GLDS-375_rna-seq_FL9-1S_S9_L002_R2_raw	0.5446743590502369	1.418063270072393
GLDS-375_rna-seq_GC1-1R_S4_L002_R1_raw	0.5465938945494343	13.632027548004974
GLDS-375_rna-seq_GC1-1R_S4_L002_R2_raw	0.7298737418727141	7.758581233776532
GLDS-375_rna-seq_GC1-1S_S3_L002_R1_raw	0.2346532588696861	1.467154083980756
GLDS-375_rna-seq_GC1-1S_S3_L002_R2_raw	0.7517967323691206	0.2148612915504271
GLDS-375_rna-seq_GC10-1R_R1_raw	0.5188374899545026	3.6146876694430454
GLDS-375_rna-seq_GC10-1R_R2_raw	1.2810495264683304	4.127682688547726
GLDS-375_rna-seq_GC10-1S_R1_raw	0.20054224531282971	1.4503434513017424
GLDS-375_rna-seq_GC10-1S_R2_raw	0.5894502978606172	2.7778634697367
GLDS-375_rna-seq_GC11-1R_S16_L002_R1_raw	0.5637246856068752	2.4652786866327627
GLDS-375_rna-seq_GC11-1R_S16_L002_R2_raw	0.5824521195912242	0.38510184181059437
GLDS-375_rna-seq_GC11-1S_S15_L002_R1_raw	0.46574302565119396	2.7709147535684338
GLDS-375_rna-seq_GC11-1S_S15_L002_R2_raw	0.6241571873174796	1.1891490383487076
GLDS-375_rna-seq_GC12-1R_R1_raw	0.43818052379418865	3.5843943008655392
GLDS-375_rna-seq_GC12-1R_R2_raw	1.149162929454362	4.154905680799963
GLDS-375_rna-seq_GC12-1S_R1_raw	0.2917429506639655	2.450311167644563
GLDS-375_rna-seq_GC12-1S_R2_raw	0.4749329048165806	4.266011214183356
GLDS-375_rna-seq_GC2-1R_R1_raw	0.3701421527574113	3.065807586830037
GLDS-375_rna-seq_GC2-1R_R2_raw	0.9962380067219266	3.1490510522342308
GLDS-375_rna-seq_GC2-1S_R1_raw	0.2653491590582144	2.462498737695979
GLDS-375_rna-seq_GC2-1S_R2_raw	0.36948124302619895	2.8259886580791247
GLDS-375_rna-seq_GC3-1R_R1_raw	0.40964737366643345	2.9351977592058156
