Sample	Unique Reads	Duplicate Reads
GLDS-375_rna-seq_FL1-1R_S2_L002_R1_raw	7888280.0	16714736.0
GLDS-375_rna-seq_FL1-1R_S2_L002_R2_raw	9509418.0	15093598.0
GLDS-375_rna-seq_FL1-1S_S1_L002_R1_raw	5988370.0	18866951.0
GLDS-375_rna-seq_FL1-1S_S1_L002_R2_raw	7735472.0	17119849.0
GLDS-375_rna-seq_FL10-1R_R1_raw	31998545.0	112479910.0
GLDS-375_rna-seq_FL10-1R_R2_raw	36097777.0	108380678.0
GLDS-375_rna-seq_FL10-1S_R1_raw	20381096.0	97341072.0
GLDS-375_rna-seq_FL10-1S_R2_raw	20298542.0	97423626.0
GLDS-375_rna-seq_FL11-1R_S14_L002_R1_raw	8986714.0	14986007.0
GLDS-375_rna-seq_FL11-1R_S14_L002_R2_raw	10498442.0	13474279.0
GLDS-375_rna-seq_FL11-1S_S13_L002_R1_raw	7908143.0	21833823.0
GLDS-375_rna-seq_FL11-1S_S13_L002_R2_raw	9464847.0	20277119.0
GLDS-375_rna-seq_FL12-1R_R1_raw	26533053.0	89259056.0
GLDS-375_rna-seq_FL12-1R_R2_raw	26299524.0	89492585.0
GLDS-375_rna-seq_FL12-1S_R1_raw	18469017.0	84609989.0
GLDS-375_rna-seq_FL12-1S_R2_raw	19990997.0	83088009.0
GLDS-375_rna-seq_FL2-1R_R1_raw	28699701.0	100892782.0
GLDS-375_rna-seq_FL2-1R_R2_raw	30759225.0	98833258.0
GLDS-375_rna-seq_FL2-1S_R1_raw	20871114.0	99799611.0
GLDS-375_rna-seq_FL2-1S_R2_raw	22654035.0	98016690.0
GLDS-375_rna-seq_FL3-1R_R1_raw	30991928.0	109060101.0
GLDS-375_rna-seq_FL3-1R_R2_raw	32282754.0	107769275.0
GLDS-375_rna-seq_FL3-1S_R1_raw	20835635.0	95573202.0
GLDS-375_rna-seq_FL3-1S_R2_raw	22452315.0	93956522.0
GLDS-375_rna-seq_FL4-1R_R1_raw	30709720.0	98426851.0
GLDS-375_rna-seq_FL4-1R_R2_raw	33732341.0	95404230.0
GLDS-375_rna-seq_FL4-1S_R1_raw	22545289.0	93861658.0
GLDS-375_rna-seq_FL4-1S_R2_raw	24822780.0	91584167.0
GLDS-375_rna-seq_FL5-1R_S6_L002_R1_raw	8116617.0	22339216.0
GLDS-375_rna-seq_FL5-1R_S6_L002_R2_raw	10214803.0	20241030.0
GLDS-375_rna-seq_FL5-1S_S5_L002_R1_raw	7129128.0	20581025.0
GLDS-375_rna-seq_FL5-1S_S5_L002_R2_raw	8569722.0	19140431.0
GLDS-375_rna-seq_FL6-1R_R1_raw	29818898.0	105805171.0
GLDS-375_rna-seq_FL6-1R_R2_raw	31418401.0	104205668.0
GLDS-375_rna-seq_FL6-1S_R1_raw	22248920.0	99102788.0
GLDS-375_rna-seq_FL6-1S_R2_raw	25151025.0	96200683.0
GLDS-375_rna-seq_FL7-1R_R1_raw	26639887.0	88703337.0
GLDS-375_rna-seq_FL7-1R_R2_raw	27465633.0	87877591.0
GLDS-375_rna-seq_FL7-1S_R1_raw	22682902.0	106845534.0
GLDS-375_rna-seq_FL7-1S_R2_raw	23747890.0	105780546.0
GLDS-375_rna-seq_FL8-1R_R1_raw	30650801.0	101502554.0
GLDS-375_rna-seq_FL8-1R_R2_raw	31561571.0	100591784.0
GLDS-375_rna-seq_FL8-1S_R1_raw	23167737.0	107107535.0
GLDS-375_rna-seq_FL8-1S_R2_raw	26828689.0	103446583.0
GLDS-375_rna-seq_FL9-1R_S10_L002_R1_raw	7239534.0	18911200.0
GLDS-375_rna-seq_FL9-1R_S10_L002_R2_raw	8796737.0	17353997.0
GLDS-375_rna-seq_FL9-1S_S9_L002_R1_raw	7758569.0	23195339.0
GLDS-375_rna-seq_FL9-1S_S9_L002_R2_raw	9330616.0	21623292.0
GLDS-375_rna-seq_GC1-1R_S4_L002_R1_raw	6288088.0	26463467.0
GLDS-375_rna-seq_GC1-1R_S4_L002_R2_raw	8488764.0	24262791.0
GLDS-375_rna-seq_GC1-1S_S3_L002_R1_raw	6413190.0	19759044.0
GLDS-375_rna-seq_GC1-1S_S3_L002_R2_raw	7945786.0	18226448.0
GLDS-375_rna-seq_GC10-1R_R1_raw	30497871.0	104479268.0
GLDS-375_rna-seq_GC10-1R_R2_raw	32262763.0	102714376.0
GLDS-375_rna-seq_GC10-1S_R1_raw	20318576.0	92423754.0
GLDS-375_rna-seq_GC10-1S_R2_raw	19530684.0	93211646.0
GLDS-375_rna-seq_GC11-1R_S16_L002_R1_raw	9889304.0	17770652.0
GLDS-375_rna-seq_GC11-1R_S16_L002_R2_raw	11098616.0	16561340.0
GLDS-375_rna-seq_GC11-1S_S15_L002_R1_raw	4882920.0	19234242.0
GLDS-375_rna-seq_GC11-1S_S15_L002_R2_raw	6214635.0	17902527.0
GLDS-375_rna-seq_GC12-1R_R1_raw	24592468.0	81338986.0
GLDS-375_rna-seq_GC12-1R_R2_raw	25441056.0	80490398.0
GLDS-375_rna-seq_GC12-1S_R1_raw	18513421.0	100533500.0
GLDS-375_rna-seq_GC12-1S_R2_raw	20048253.0	98998668.0
GLDS-375_rna-seq_GC2-1R_R1_raw	27163319.0	102253446.0
GLDS-375_rna-seq_GC2-1R_R2_raw	29108404.0	100308361.0
GLDS-375_rna-seq_GC2-1S_R1_raw	18572492.0	111932915.0
GLDS-375_rna-seq_GC2-1S_R2_raw	20284578.0	110220829.0
GLDS-375_rna-seq_GC3-1R_R1_raw	26851843.0	84036699.0
GLDS-375_rna-seq_GC3-1R_R2_raw	30512762.0	80375780.0
GLDS-375_rna-seq_GC3-1S_R1_raw	20214902.0	102636163.0
GLDS-375_rna-seq_GC3-1S_R2_raw	23413513.0	99437552.0
GLDS-375_rna-seq_GC4-1R_R1_raw	27501149.0	89509889.0
GLDS-375_rna-seq_GC4-1R_R2_raw	28962502.0	88048536.0
GLDS-375_rna-seq_GC4-1S_R1_raw	20574099.0	109497171.0
GLDS-375_rna-seq_GC4-1S_R2_raw	25565672.0	104505598.0
GLDS-375_rna-seq_GC5-1R_S8_L002_R1_raw	9864943.0	18793853.0
GLDS-375_rna-seq_GC5-1R_S8_L002_R2_raw	11824102.0	16834694.0
GLDS-375_rna-seq_GC5-1S_S7_L002_R1_raw	5322728.0	18572040.0
GLDS-375_rna-seq_GC5-1S_S7_L002_R2_raw	7500661.0	16394107.0
GLDS-375_rna-seq_GC6-1R_R1_raw	30360855.0	98004144.0
GLDS-375_rna-seq_GC6-1R_R2_raw	32185501.0	96179498.0
GLDS-375_rna-seq_GC6-1S_R1_raw	20065870.0	103507988.0
GLDS-375_rna-seq_GC6-1S_R2_raw	22013640.0	101560218.0
GLDS-375_rna-seq_GC7-1R_R1_raw	29342029.0	95214789.0
GLDS-375_rna-seq_GC7-1R_R2_raw	30559357.0	93997461.0
GLDS-375_rna-seq_GC7-1S_R1_raw	18223609.0	103796206.0
GLDS-375_rna-seq_GC7-1S_R2_raw	20091264.0	101928551.0
GLDS-375_rna-seq_GC8-1R_R1_raw	18627129.0	149279117.0
GLDS-375_rna-seq_GC8-1R_R2_raw	19693466.0	148212780.0
GLDS-375_rna-seq_GC8-1S_R1_raw	18809483.0	101841043.0
GLDS-375_rna-seq_GC8-1S_R2_raw	19562213.0	101088313.0
GLDS-375_rna-seq_GC9-1R_S12_L002_R1_raw	11396573.0	24157049.0
GLDS-375_rna-seq_GC9-1R_S12_L002_R2_raw	12919832.0	22633790.0
GLDS-375_rna-seq_GC9-1S_S11_L002_R1_raw	5396287.0	16349605.0
GLDS-375_rna-seq_GC9-1S_S11_L002_R2_raw	6284409.0	15461483.0
GLDS-375_rna-seq_Plantctrl_rep1_R1_raw	27984984.0	107312192.0
GLDS-375_rna-seq_Plantctrl_rep1_R2_raw	29119514.0	106177662.0
GLDS-375_rna-seq_Plantctrl_rep2_R1_raw	29694104.0	119423153.0
GLDS-375_rna-seq_Plantctrl_rep2_R2_raw	30873381.0	118243876.0
GLDS-375_rna-seq_Plantctrl_rep3_R1_raw	26735874.0	150380184.0
