series_id,series_name,accession,organism,condition,frame_count,cadence_seconds,duration_minutes,irods_collection,remote_video_url,thumbnail_url,has_manifest,has_metadata_csv,status
cyv-brachy-per1-11,Brachy_Enhanced_Per1_DB_1_1,Per1,Brachypodium distachyon,Gravistimulation 90°,84,15.0,21.0,/iplant/home/dr_richard_barker/timelapse_extract/Brachy_Enhanced_Per1_DB_1_1,assets/videos/Brachy_Enhanced_Per1_DB_1_1.mp4,assets/thumbnails/Brachy_Enhanced_Per1_DB_1_1_poster.jpg,True,True,Extracted & Hosted
cyv-brachy-per1-23,Brachy_Enhanced_Per1_DB_2_3,Per1,Brachypodium distachyon,Gravistimulation 90°,84,15.0,21.0,/iplant/home/dr_richard_barker/timelapse_extract/Brachy_Enhanced_Per1_DB_2_3,assets/videos/Brachy_Enhanced_Per1_DB_2_3.mp4,assets/thumbnails/Brachy_Enhanced_Per1_DB_2_3_poster.jpg,True,True,Extracted & Hosted
cyv-brachy-per1-32,Brachy_Enhanced_Per1_DB_3_2,Per1,Brachypodium distachyon,Gravistimulation 90°,83,15.0,20.75,/iplant/home/dr_richard_barker/timelapse_extract/Brachy_Enhanced_Per1_DB_3_2,assets/videos/Brachy_Enhanced_Per1_DB_3_2.mp4,assets/thumbnails/Brachy_Enhanced_Per1_DB_3_2_poster.jpg,True,True,Extracted & Hosted
cyv-brachy-tr7a-13,Brachy_Enhanced_TR7a_DB_1_3,BdTR7a,Brachypodium distachyon,Gravistimulation 90° (Turkish Diversity),83,15.0,20.75,/iplant/home/dr_richard_barker/timelapse_extract/Brachy_Enhanced_TR7a_DB_1_3,assets/videos/Brachy_Enhanced_TR7a_DB_1_3.mp4,assets/thumbnails/Brachy_Enhanced_TR7a_DB_1_3_poster.jpg,True,True,Extracted & Hosted
cyv-brachy-tr7a-22,Brachy_Enhanced_TR7a_DB_2_2,BdTR7a,Brachypodium distachyon,Gravistimulation 90° (Turkish Diversity),84,15.0,21.0,/iplant/home/dr_richard_barker/timelapse_extract/Brachy_Enhanced_TR7a_DB_2_2,assets/videos/Brachy_Enhanced_TR7a_DB_2_2.mp4,assets/thumbnails/Brachy_Enhanced_TR7a_DB_2_2_poster.jpg,True,True,Extracted & Hosted
cyv-brachy-per1-green-rot,Per1_DB_1_1_Green_Rotation,Per1,Brachypodium distachyon,Gravistimulation 90° Green Light (AIRI Stage VI),394,6.0,39.4,/iplant/home/dr_richard_barker/timelapse_extract/Per1_DB_1-1_001 Green Rotation.MOV,assets/videos/Per1_DB_1_1_Green_Rotation.mp4,assets/thumbnails/Per1_DB_1_1_Green_Rotation_poster.jpg,True,True,Extracted & Hosted (Featured 10 fps)
