series_id,series_name,accession,organism,condition,frame_count,cadence_seconds,duration_minutes,irods_collection,remote_video_url,has_manifest,has_metadata_csv,status
cyv-brachy-per1-11,Brachy_Enhanced_Per1_DB_1_1,Per1,Brachypodium distachyon,Gravistimulation 90°,84,15.0,21.0,/iplant/home/dr_richard_barker/timelapse_extract/Brachy_Enhanced_Per1_DB_1_1,https://raw.githubusercontent.com/dr-richard-barker/timelapse-image-series/main/Brachy_Enhanced_Per1_DB_1_1/timelapse.mp4,True,True,Extracted & Available
cyv-brachy-per1-23,Brachy_Enhanced_Per1_DB_2_3,Per1,Brachypodium distachyon,Gravistimulation 90°,84,15.0,21.0,/iplant/home/dr_richard_barker/timelapse_extract/Brachy_Enhanced_Per1_DB_2_3,https://raw.githubusercontent.com/dr-richard-barker/timelapse-image-series/main/Brachy_Enhanced_Per1_DB_2_3/timelapse.mp4,True,True,Extracted & Available
cyv-brachy-per1-32,Brachy_Enhanced_Per1_DB_3_2,Per1,Brachypodium distachyon,Gravistimulation 90°,83,15.0,20.75,/iplant/home/dr_richard_barker/timelapse_extract/Brachy_Enhanced_Per1_DB_3_2,https://raw.githubusercontent.com/dr-richard-barker/timelapse-image-series/main/Brachy_Enhanced_Per1_DB_3_2/timelapse.mp4,True,True,Extracted & Available
cyv-brachy-tr7a-13,Brachy_Enhanced_TR7a_DB_1_3,BdTR7a,Brachypodium distachyon,Gravistimulation 90° (Turkish Diversity),83,15.0,20.75,/iplant/home/dr_richard_barker/timelapse_extract/Brachy_Enhanced_TR7a_DB_1_3,https://raw.githubusercontent.com/dr-richard-barker/timelapse-image-series/main/Brachy_Enhanced_TR7a_DB_1_3/timelapse.mp4,True,True,Extracted & Available
cyv-brachy-tr7a-22,Brachy_Enhanced_TR7a_DB_2_2,BdTR7a,Brachypodium distachyon,Gravistimulation 90° (Turkish Diversity),84,15.0,21.0,/iplant/home/dr_richard_barker/timelapse_extract/Brachy_Enhanced_TR7a_DB_2_2,https://raw.githubusercontent.com/dr-richard-barker/timelapse-image-series/main/Brachy_Enhanced_TR7a_DB_2_2/timelapse.mp4,True,True,Extracted & Available
cyv-flashlapse-ctrl,FlashLapse_Straight_growth,Baseline,Pisum sativum,Straight Vertical Growth,612,15.0,153.0,/iplant/home/dr_richard_barker/timelapse_extract/FlashLapse_Straight_growth,https://raw.githubusercontent.com/dr-richard-barker/timelapse-image-series/main/FlashLapse_Straight_growth/timelapse.mp4,True,True,Extracted & Available
